County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,Total NC,UndupNCIM,NCPE,Excluded,PolioProtected,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,TdapProt,TdapNcNp,TdapMedObj,TdapRelObj,TdapApprSchd,TdapTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Region,County
Adams,01,001,01001,01-001-0010-26-0001,Seymour High School,220,1,0,1,0,219,0,0,0,1,220,219,0,0,0,1,220,37,0,0,0,1,38,219,0,0,0,1,220,219,0,0,0,1,220,219,0,0,0,1,220,219,0,0,0,1,220,0,0,0,0,0,0,143,0,0,0,1,144,01,001
Adams,01,001,01001,01-001-0010-26-2002,Seymour Elementary School,295,1,0,1,0,293,0,1,0,1,295,293,0,1,0,1,295,29,0,0,0,1,30,293,0,1,0,1,295,293,0,1,0,1,295,293,0,1,0,1,295,107,0,0,0,1,108,40,0,0,0,0,40,293,0,1,0,1,295,01,001
Adams,01,001,01001,01-001-0020-26-0001,Liberty High School,195,0,0,0,0,195,0,0,0,0,195,195,0,0,0,0,195,50,0,0,0,0,50,195,0,0,0,0,195,195,0,0,0,0,195,195,0,0,0,0,195,195,0,0,0,0,195,0,0,0,0,0,0,98,0,0,0,0,98,01,001
Adams,01,001,01001,01-001-0020-26-2002,Liberty Elementary School,457,0,0,0,0,455,0,0,2,0,457,455,0,0,2,0,457,48,0,0,0,0,48,455,0,0,2,0,457,455,0,0,2,0,457,455,0,0,2,0,457,231,0,0,0,0,231,45,0,0,0,0,45,455,0,0,2,0,457,01,001
Adams,01,001,01001,01-001-0030-26-0001,Central High School,270,0,0,0,0,268,0,0,2,0,270,268,0,0,2,0,270,80,0,0,0,0,80,268,0,0,2,0,270,268,0,0,2,0,270,268,0,0,2,0,270,268,0,0,2,0,270,0,0,0,0,0,0,146,0,0,0,0,146,01,001
Adams,01,001,01001,01-001-0030-26-1001,Central Junior High School,268,0,0,0,0,265,0,0,3,0,268,264,0,1,3,0,268,56,0,0,0,0,56,265,0,0,3,0,268,265,0,0,3,0,268,265,0,0,3,0,268,265,0,0,3,0,268,0,0,0,0,0,0,265,0,0,3,0,268,01,001
Adams,01,001,01001,01-001-0030-26-2003,Central Elementary Grade School,282,0,0,0,0,280,0,0,2,0,282,280,0,0,2,0,282,0,0,0,0,0,0,280,0,0,2,0,282,280,0,0,2,0,282,280,0,0,2,0,282,60,0,0,1,0,61,60,0,0,1,0,61,280,0,0,2,0,282,01,001
Adams,01,001,01001,01-001-0030-26-2008,Central 3-4 Middle School,117,0,0,0,0,117,0,0,0,0,117,117,0,0,0,0,117,0,0,0,0,0,0,117,0,0,0,0,117,117,0,0,0,0,117,117,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,117,01,001
Adams,01,001,01001,01-001-0040-26-0001,Unity High School,217,0,0,0,0,217,0,0,0,0,217,217,0,0,0,0,217,59,0,1,0,0,60,217,0,0,0,0,217,217,0,0,0,0,217,217,0,0,0,0,217,217,0,0,0,0,217,0,0,0,0,0,0,109,0,0,0,0,109,01,001
Adams,01,001,01001,01-001-0040-26-1001,Unity Middle School,249,0,0,0,0,249,0,0,0,0,249,249,0,0,0,0,249,64,0,0,0,0,64,249,0,0,0,0,249,249,0,0,0,0,249,249,0,0,0,0,249,249,0,0,0,0,249,0,0,0,0,0,0,249,0,0,0,0,249,01,001
Adams,01,001,01001,01-001-0040-26-2004,Greenfield Elementary School,142,0,0,0,0,142,0,0,0,0,142,142,0,0,0,0,142,0,0,0,0,0,0,142,0,0,0,0,142,142,0,0,0,0,142,142,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,142,01,001
Adams,01,001,01001,01-001-0040-26-2006,Mendon Elementary School,98,0,0,0,0,98,0,0,0,0,98,98,0,0,0,0,98,0,0,0,0,0,0,98,0,0,0,0,98,98,0,0,0,0,98,98,0,0,0,0,98,2,0,0,0,0,2,2,0,0,0,0,2,98,0,0,0,0,98,01,001
Adams,01,001,01001,01-001-1720-22-0003,Quincy Sr High School,1419,7,5,2,2,1411,1,2,5,0,1419,1412,0,1,6,0,1419,0,0,0,0,0,0,1394,4,16,5,0,1419,1395,4,15,5,0,1419,1395,4,15,5,0,1419,1404,0,10,5,0,1419,0,0,0,0,0,0,448,0,0,2,0,450,01,001
Adams,01,001,01001,01-001-1720-22-1003,Quincy Jr High School,1457,12,10,2,4,1445,1,2,9,0,1457,1444,1,3,9,0,1457,464,9,0,2,0,475,1440,0,8,9,0,1457,1440,0,8,9,0,1457,1440,0,8,9,0,1457,1447,0,0,10,0,1457,0,0,0,0,0,0,1448,0,4,5,0,1457,01,001
Adams,01,001,01001,01-001-1720-22-2004,Adams Elementary School,400,4,4,0,2,392,4,0,4,0,400,391,4,0,4,1,400,0,0,0,0,0,0,392,4,0,4,0,400,392,4,0,4,0,400,392,4,0,4,0,400,0,0,0,0,0,0,0,0,0,0,0,0,392,4,0,4,0,400,01,001
