County_Name,Region,County,region_county_code,Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,region_county_code
Adams,01,001,01001,010010010260001,Payson CUSD 1,Seymour High School,211,0,0,0,1,211,0,0,0,0,0,211,0,1,01001
Adams,01,001,01001,010010010262002,Payson CUSD 1,Seymour Elementary School,314,0,1,0,0.9968152866242038,32,0,0,1,0,0,32,1,0.9696969696969697,01001
Adams,01,001,01001,010010020260001,Liberty CUSD 2,Liberty High School,295,0,0,0,1,295,0,0,0,0,0,295,0,1,01001
Adams,01,001,01001,010010020262002,Liberty CUSD 2,Liberty Elementary School,356,1,0,1,0.9971910112359551,43,2,0,0,0,0,43,2,0.9555555555555556,01001
Adams,01,001,01001,01001002X060000,Nonpublic School,St James Lutheran,120,20,0,0,0.8333333333333335,14,0,0,0,0,6,14,6,0.7,01001
Adams,01,001,01001,010010030260001,Central CUSD 3,Central High School,280,0,0,0,1,276,2,0,2,0,0,276,4,0.9857142857142858,01001
Adams,01,001,01001,010010030261001,Central CUSD 3,Central Junior High School,242,0,0,0,1,178,0,0,2,0,0,178,2,0.9888888888888889,01001
Adams,01,001,01001,010010040260001,CUSD 4,Unity High School,231,0,0,0,1,229,2,0,0,0,0,229,2,0.9913419913419913,01001
Adams,01,001,01001,010010040261001,CUSD 4,Unity Middle School,214,0,0,0,1,166,0,0,0,0,0,166,0,1,01001
Adams,01,001,01001,01001005X100000,Nonpublic School,St Dominic School,197,0,0,0,1,40,0,0,2,0,0,40,2,0.9523809523809523,01001
Adams,01,001,01001,01001006X100000,Nonpublic School,St Francis Solanus,348,0,0,0,1,87,0,0,0,0,0,87,0,1,01001
Adams,01,001,01001,01001007X100000,Nonpublic School,Blessed Sacrament Catholic School,229,0,0,0,1,42,0,0,1,0,0,42,1,0.9767441860465116,01001
Adams,01,001,01001,01001009X100000,Nonpublic School,St Peter School,452,2,1,1,0.9933628318584071,159,1,0,0,0,1,159,2,0.9875776397515528,01001
Adams,01,001,01001,01001012Y100000,Nonpublic School,Quincy Notre Dame High School,410,0,0,0,1,409,0,0,1,0,0,409,1,0.9975609756097561,01001
Adams,01,001,01001,010011720220003,Quincy SD 172,Quincy Sr High School,1429,7,2,5,0.9937018894331701,1422,5,0,0,0,2,1422,7,0.9951014695591323,01001
Adams,01,001,01001,010011720221003,Quincy SD 172,Quincy Jr High School,1430,6,3,7,0.9937062937062937,1421,6,3,0,0,0,1421,9,0.9937062937062937,01001
Adams,01,001,01001,010011720222019,Quincy SD 172,Baldwin Intermediate,1457,9,1,6,0.9931365820178449,459,5,0,0,0,8,459,13,0.972457627118644,01001
Adams,01,001,01001,010011720223005,Quincy SD 172,Adams Co Juvenile Detention Cntr,9,1,0,0,0.8888888888888888,9,0,0,0,0,0,9,0,1,01001
Pike,01,075,01075,010750030260002,Pleasant Hill CUSD 3,Pleasant Hill High School,105,0,3,0,0.9714285714285714,105,0,0,0,0,0,105,0,1,01075
Pike,01,075,01075,010750040260002,Griggsville-Perry CUSD 4,Griggsville-Perry High School,112,0,3,2,0.9732142857142857,112,0,0,0,0,0,112,0,1,01075
Pike,01,075,01075,010750040261002,Griggsville-Perry CUSD 4,Griggsville-Perry Middle School,99,0,0,0,1,74,0,0,0,0,0,74,0,1,01075
Pike,01,075,01075,010750100260009,Pikeland CUSD 10,Pittsfield High School,348,0,0,0,1,346,2,0,0,0,0,346,2,0.9942528735632183,01075
Pike,01,075,01075,010750100262010,Pikeland CUSD 10,Pikeland Community School,579,0,0,0,1,280,2,0,0,0,0,280,2,0.9929078014184397,01075
