County_Name,Region,County,region_county_code,Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,region_county_code
Adams,01,001,01001,010010010260001,Payson CUSD 1,Seymour High School,211,0,0,0,1,211,0,0,0,0,0,211,0,1,01001
Adams,01,001,01001,010010010262002,Payson CUSD 1,Seymour Elementary School,314,0,1,0,0.9968152866242038,314,0,0,0,0,0,314,0,1,01001
Adams,01,001,01001,010010020260001,Liberty CUSD 2,Liberty High School,295,0,0,0,1,295,0,0,0,0,0,295,0,1,01001
Adams,01,001,01001,010010020262002,Liberty CUSD 2,Liberty Elementary School,356,1,0,1,0.9971910112359551,354,0,1,0,0,1,354,2,0.9943820224719101,01001
Adams,01,001,01001,01001002X060000,Nonpublic School,St James Lutheran,120,20,0,0,0.8333333333333335,100,0,0,0,0,20,100,20,0.8333333333333334,01001
Adams,01,001,01001,010010030260001,Central CUSD 3,Central High School,280,0,0,0,1,278,2,0,0,0,0,278,2,0.9928571428571429,01001
Adams,01,001,01001,010010030261001,Central CUSD 3,Central Junior High School,242,0,0,0,1,242,0,0,0,0,0,242,0,1,01001
Adams,01,001,01001,010010030262003,Central CUSD 3,Central Elementary Grade School,230,0,1,0,0.9956521739130435,227,3,0,0,0,0,227,3,0.9869565217391304,01001
Adams,01,001,01001,010010030262008,Central CUSD 3,Central 3-4 Middle School,146,0,3,0,0.9794520547945206,143,0,0,3,0,0,143,3,0.9794520547945206,01001
Adams,01,001,01001,010010040260001,CUSD 4,Unity High School,231,0,0,0,1,231,0,0,0,0,0,231,0,1,01001
Adams,01,001,01001,010010040261001,CUSD 4,Unity Middle School,214,0,0,0,1,214,0,0,0,0,0,214,0,1,01001
Adams,01,001,01001,010010040262004,CUSD 4,Greenfield Elementary School,143,0,0,0,1,143,0,0,0,0,0,143,0,1,01001
Adams,01,001,01001,010010040262006,CUSD 4,Mendon Elementary School,90,1,0,0,0.9888888888888889,89,1,0,0,0,0,89,1,0.9888888888888889,01001
Adams,01,001,01001,01001005X100000,Nonpublic School,St Dominic School,197,0,0,0,1,192,5,0,0,0,0,192,5,0.9746192893401016,01001
Adams,01,001,01001,01001006X100000,Nonpublic School,St Francis Solanus,348,0,0,0,1,346,1,1,0,0,0,346,2,0.9942528735632183,01001
Adams,01,001,01001,01001007X100000,Nonpublic School,Blessed Sacrament Catholic School,229,0,0,0,1,229,0,0,0,0,0,229,0,1,01001
Adams,01,001,01001,01001009X100000,Nonpublic School,St Peter School,452,2,1,1,0.9933628318584071,444,3,2,2,0,1,444,8,0.9823008849557522,01001
Adams,01,001,01001,01001012Y100000,Nonpublic School,Quincy Notre Dame High School,410,0,0,0,1,408,0,2,0,0,0,408,2,0.9951219512195122,01001
Adams,01,001,01001,010011720220003,Quincy SD 172,Quincy Sr High School,1429,7,2,5,0.9937018894331701,1408,5,12,0,0,4,1408,21,0.9853044086773968,01001
Adams,01,001,01001,010011720221003,Quincy SD 172,Quincy Jr High School,1430,6,3,7,0.9937062937062937,1416,5,9,0,0,0,1416,14,0.9902097902097902,01001
Adams,01,001,01001,010011720222004,Quincy SD 172,Adams Elementary School,350,1,3,1,0.9885714285714287,342,4,1,2,0,1,342,8,0.9771428571428571,01001
Adams,01,001,01001,010011720222006,Quincy SD 172,Dewey Elementary School,257,1,2,2,0.9883268482490273,256,0,0,0,0,1,256,1,0.9961089494163424,01001
Adams,01,001,01001,010011720222007,Quincy SD 172,Ellington Elementary School,323,2,0,2,0.9938080495356038,321,1,0,0,0,1,321,2,0.9938080495356038,01001
Adams,01,001,01001,010011720222008,Quincy SD 172,Berrian School,193,1,0,0,0.9948186528497409,187,3,0,2,0,1,187,6,0.9689119170984456,01001
Adams,01,001,01001,010011720222009,Quincy SD 172,Madison School,396,0,0,0,1,393,2,1,0,0,0,393,3,0.9924242424242424,01001
Adams,01,001,01001,010011720222016,Quincy SD 172,Monroe Elementary School,255,0,0,0,1,254,1,0,0,0,0,254,1,0.996078431372549,01001
Adams,01,001,01001,010011720222017,Quincy SD 172,Washington Elementary School,280,0,3,0,0.9892857142857143,279,0,0,1,0,0,279,1,0.9964285714285714,01001
Adams,01,001,01001,010011720222019,Quincy SD 172,Baldwin Intermediate,1457,9,1,6,0.9931365820178449,1436,9,12,0,0,0,1436,21,0.9855868222374743,01001
Adams,01,001,01001,010011720223004,Quincy SD 172,Early Childhood,508,2,0,2,0.9960629921259844,505,1,0,2,0,0,505,3,0.9940944881889764,01001
Adams,01,001,01001,010011720223005,Quincy SD 172,Adams Co Juvenile Detention Cntr,9,1,0,0,0.8888888888888888,9,0,0,0,0,0,9,0,1,01001
Pike,01,075,01075,010750030260002,Pleasant Hill CUSD 3,Pleasant Hill High School,105,0,3,0,0.9714285714285714,105,0,0,0,0,0,105,0,1,01075
Pike,01,075,01075,010750040260002,Griggsville-Perry CUSD 4,Griggsville-Perry High School,112,0,3,2,0.9732142857142857,112,0,0,0,0,0,112,0,1,01075
Pike,01,075,01075,010750040261002,Griggsville-Perry CUSD 4,Griggsville-Perry Middle School,99,0,0,0,1,99,0,0,0,0,0,99,0,1,01075
Pike,01,075,01075,010750040262001,Griggsville-Perry CUSD 4,Griggsville-Perry Primary School,180,1,0,1,0.9944444444444445,178,0,1,0,0,1,178,2,0.9888888888888889,01075
Pike,01,075,01075,010750100260009,Pikeland CUSD 10,Pittsfield High School,348,0,0,0,1,346,2,0,0,0,0,346,2,0.9942528735632183,01075
Pike,01,075,01075,010750100262007,Pikeland CUSD 10,Pittsfield South Elem School,379,0,2,2,0.9947229551451188,375,4,0,0,0,0,375,4,0.9894459102902374,01075
Pike,01,075,01075,010750100262010,Pikeland CUSD 10,Pikeland Community School,579,0,0,0,1,577,2,0,0,0,0,577,2,0.9965457685664939,01075
Pike,01,075,01075,010750120260001,Western CUSD 12,Western High School,149,1,0,1,0.9932885906040269,149,0,0,0,0,0,149,0,1,01075
Pike,01,075,01075,010750120261001,Western CUSD 12,Western Jr High School,206,0,0,0,1,206,0,0,0,0,0,206,0,1,01075
Pike,01,075,01075,010750120262001,Western CUSD 12,Western Barry Elem,248,2,2,2,0.9838709677419355,247,0,0,0,0,1,247,1,0.9959677419354839,01075
Alexander,02,002,02002,020020010220001,Cairo USD 1,Cairo Jr/Sr High School,206,0,0,0,1,206,0,0,0,0,0,206,0,1,02002
Alexander,02,002,02002,020020010222004,Cairo USD 1,Cairo Elementary School,294,0,0,0,1,292,1,0,1,0,0,292,2,0.9931972789115646,02002
Alexander,02,002,02002,020020050260001,Egyptian CUSD 5,Egyptian Sr High School,124,0,0,0,1,122,2,0,0,0,0,122,2,0.9838709677419355,02002
Alexander,02,002,02002,020020050261001,Egyptian CUSD 5,Egyptian Jr High School,91,0,0,0,1,90,1,0,0,0,0,90,1,0.989010989010989,02002
Alexander,02,002,02002,020020050262002,Egyptian CUSD 5,Egyptian Elem School,267,2,0,2,0.9925093632958801,260,5,0,0,0,2,260,7,0.9737827715355806,02002
Johnson,02,044,02044,020440010260001,Goreville CUD 1,Goreville High School,209,2,0,0,0.9904306220095694,209,0,0,0,0,0,209,0,1,02044
Johnson,02,044,02044,020440010262001,Goreville CUD 1,Goreville Elementary School,438,5,0,3,0.9885844748858448,432,1,0,0,0,5,432,6,0.9863013698630136,02044
Johnson,02,044,02044,020440320032003,New Simpson Hill SD 32,New Simpson Hill Dist 32,258,0,0,0,1,258,0,0,0,0,0,258,0,1,02044
Johnson,02,044,02044,020440550022001,Vienna SD 55,Vienna Elem School Dist 55,429,0,0,0,1,426,1,2,0,0,0,426,3,0.993006993006993,02044
Johnson,02,044,02044,020440640022001,Cypress SD 64,Cypress Elem School,136,0,0,0,1,135,1,0,0,0,0,135,1,0.9926470588235294,02044
Johnson,02,044,02044,020441330170001,Vienna HSD 133,Vienna High School,349,0,0,0,1,348,1,0,0,0,0,348,1,0.997134670487106,02044
Masaac,02,061,02061,020610010260001,Massac UD 1,Massac County High School,644,73,18,0,0.8586956521739131,639,4,0,0,0,1,639,5,0.9922360248447205,02061
Masaac,02,061,02061,020610010261001,Massac UD 1,Massac Jr High School,335,2,3,0,0.9850746268656717,330,5,0,0,0,0,330,5,0.9850746268656716,02061
Masaac,02,061,02061,020610010262001,Massac UD 1,Jefferson Elem School,136,1,0,0,0.9926470588235294,135,1,0,0,0,0,135,1,0.9926470588235294,02061
Masaac,02,061,02061,020610010262002,Massac UD 1,Franklin Elem School,193,7,0,0,0.9637305699481865,190,0,0,0,0,3,190,3,0.9844559585492227,02061
Masaac,02,061,02061,020610010262006,Massac UD 1,Unity Elem School,155,6,0,0,0.9612903225806452,151,0,0,0,0,4,151,4,0.9741935483870968,02061
Masaac,02,061,02061,020610010262010,Massac UD 1,Brookport Elementary School,177,5,0,0,0.9717514124293786,175,0,0,0,0,2,175,2,0.9887005649717514,02061
Masaac,02,061,02061,020610380260001,Joppa-Maple Grove UD 38,Joppa Jr & Sr High School,99,0,0,0,1,99,0,0,0,0,0,99,0,1,02061
Masaac,02,061,02061,020610380262001,Joppa-Maple Grove UD 38,Maple Grove Elem School,166,1,0,0,0.9939759036144579,162,3,0,0,0,1,162,4,0.9759036144578314,02061
Pulaski,02,077,02077,020771000260001,Century CUSD 100,Century Jr/Sr High School,221,5,0,5,0.9773755656108597,204,16,0,0,0,1,204,17,0.9230769230769231,02077
Pulaski,02,077,02077,020771000262004,Century CUSD 100,Century Elementary School,176,3,0,3,0.9829545454545455,159,14,0,0,0,3,159,17,0.9034090909090909,02077
Pulaski,02,077,02077,020771010260001,Meridian CUSD 101,Meridian High School,132,0,1,0,0.9924242424242425,131,1,0,0,0,0,131,1,0.9924242424242424,02077
Pulaski,02,077,02077,020771010262005,Meridian CUSD 101,Meridian Elementary School,409,0,1,0,0.9975550122249389,404,5,0,0,0,0,404,5,0.9877750611246944,02077
Union,02,091,02091,020910160042001,Lick Creek CCSD 16,Lick Creek Elem School,125,0,0,0,1,123,2,0,0,0,0,123,2,0.984,02091
Union,02,091,02091,020910170220001,Cobden SUD 17,Cobden High School,171,2,1,3,0.9824561403508772,171,0,0,0,0,0,171,0,1,02091
Union,02,091,02091,020910170221001,Cobden SUD 17,Cobden Jr High School,143,1,1,2,0.986013986013986,143,0,0,0,0,0,143,0,1,02091
Union,02,091,02091,020910170222002,Cobden SUD 17,Cobden Elem School,245,2,0,2,0.9918367346938776,242,0,1,0,0,2,242,3,0.9877551020408163,02091
Union,02,091,02091,020910370041001,Anna CCSD 37,Anna Junior High School,320,0,0,0,1,320,0,0,0,0,0,320,0,1,02091
Union,02,091,02091,020910370042002,Anna CCSD 37,Davie Elem School,164,0,0,0,1,163,0,0,1,0,0,163,1,0.9939024390243902,02091
Union,02,091,02091,020910370042003,Anna CCSD 37,Lincoln Elem School,267,0,0,0,1,263,3,0,1,0,0,263,4,0.9850187265917603,02091
Union,02,091,02091,020910430042001,County of Union Sch Dist No43,Jonesboro Elem School,430,0,0,0,1,425,4,0,1,0,0,425,5,0.9883720930232558,02091
Union,02,091,02091,020910660220001,Dongola USD 66,Dongola High School,69,0,0,0,1,65,0,0,1,3,0,65,4,0.9420289855072463,02091
Union,02,091,02091,020910660221001,Dongola USD 66,Dongola Jr High School,37,0,0,0,1,37,0,0,0,0,0,37,0,1,02091
Union,02,091,02091,020910660222001,Dongola USD 66,Dongola Elementary School,133,0,0,0,1,128,0,0,4,1,0,128,5,0.9624060150375939,02091
Union,02,091,02091,020910810160001,Anna Jonesboro CHSD 81,Anna-Jonesboro High School,491,11,0,0,0.9775967413441956,491,0,0,0,0,0,491,0,1,02091
Union,02,091,02091,020910840260001,Shawnee CUSD 84,Shawnee High School,116,1,0,0,0.9913793103448276,116,0,0,0,0,0,116,0,1,02091
Union,02,091,02091,020910840261002,Shawnee CUSD 84,Shawnee Jr High School,76,1,3,2,0.9473684210526316,76,0,0,0,0,0,76,0,1,02091
Union,02,091,02091,020910840262005,Shawnee CUSD 84,Shawnee Elementary School,177,3,0,3,0.9830508474576272,176,0,0,0,0,1,176,1,0.9943502824858758,02091
Bond,03,003,03003,030030010262001,Mulberry Grove CUSD 1,Mulberry Grove Elem School,234,0,1,1,0.9957264957264957,234,0,0,0,0,0,234,0,1,03003
Bond,03,003,03003,030030020260001,Bond County CUSD 2,Bond Cty Comm Unit 2 High School,532,0,0,0,1,526,4,0,2,0,0,526,6,0.9887218045112782,03003
Bond,03,003,03003,030030020261002,Bond County CUSD 2,Greenville Jr High School,303,0,0,0,1,301,2,0,0,0,0,301,2,0.9933993399339934,03003
Bond,03,003,03003,030030020262003,Bond County CUSD 2,Greenville Elem School,667,0,0,0,1,652,7,3,5,0,0,652,15,0.9775112443778111,03003
Bond,03,003,03003,030030020262004,Bond County CUSD 2,Pocahontas Center,231,0,0,0,1,229,1,0,1,0,0,229,2,0.9913419913419913,03003
Bond,03,003,03003,030030020262005,Bond County CUSD 2,Sorento Elem School,172,0,0,0,1,168,0,0,4,0,0,168,4,0.9767441860465116,03003
Effingham,03,025,03025,03025002X060000,Nonpublic School,Altamont Lutheran Interparish,136,0,0,0,1,136,0,0,0,0,0,136,0,1,03025
Effingham,03,025,03025,03025004Y100000,Nonpublic School,St Anthony High School,190,0,0,0,1,190,0,0,0,0,0,190,0,1,03025
Effingham,03,025,03025,03025007X100000,Nonpublic School,St Anthony Grade School,404,0,0,0,1,398,5,1,0,0,0,398,6,0.9851485148514851,03025
Effingham,03,025,03025,030250100260001,Altamont CUSD 10,Altamont High School,260,1,0,0,0.9961538461538462,259,0,0,0,0,1,259,1,0.9961538461538462,03025
Effingham,03,025,03025,030250100262002,Altamont CUSD 10,Altamont Grade School,488,0,3,3,0.9938524590163935,484,3,1,0,0,0,484,4,0.9918032786885246,03025
Effingham,03,025,03025,030250200260001,Beecher City CUSD 20,Beecher City Jr-Sr High School,191,1,0,1,0.9947643979057591,191,0,0,0,0,0,191,0,1,03025
Effingham,03,025,03025,030250200262003,Beecher City CUSD 20,Beecher City Grade School,155,0,0,0,1,155,0,0,0,0,0,155,0,1,03025
Effingham,03,025,03025,030250300260001,Dieterich CUSD 30,Dieterich Jr/Sr High School,189,0,0,0,1,187,2,0,0,0,0,187,2,0.9894179894179894,03025
Effingham,03,025,03025,030250300262002,Dieterich CUSD 30,Dieterich Elem School,268,0,0,0,1,264,4,0,0,0,0,264,4,0.9850746268656716,03025
Effingham,03,025,03025,030250400260001,Effingham CUSD 40,Effingham High School,781,1,0,0,0.998719590268886,779,2,0,0,0,0,779,2,0.9974391805377721,03025
Effingham,03,025,03025,030250400261001,Effingham CUSD 40,Effingham Junior High School,576,0,0,0,1,571,5,0,0,0,0,571,5,0.9913194444444444,03025
Effingham,03,025,03025,030250400262002,Effingham CUSD 40,Central Grade School,678,0,0,0,1,672,6,0,0,0,0,672,6,0.9911504424778761,03025
Effingham,03,025,03025,030250400262006,Effingham CUSD 40,Early Learning Center,220,0,0,0,1,219,1,0,0,0,0,219,1,0.9954545454545455,03025
Effingham,03,025,03025,030250400262008,Effingham CUSD 40,South Side Grade School,401,0,0,0,1,394,7,0,0,0,0,394,7,0.9825436408977556,03025
Effingham,03,025,03025,030250500260001,Teutopolis CUSD 50,Teutopolis High School,357,0,0,0,1,355,2,0,0,0,0,355,2,0.9943977591036415,03025
Effingham,03,025,03025,030250500261001,Teutopolis CUSD 50,Teutopolis Junior High School,165,0,0,0,1,162,3,0,0,0,0,162,3,0.9818181818181818,03025
Effingham,03,025,03025,030250500262002,Teutopolis CUSD 50,Teutopolis Grade School,558,0,0,0,1,553,5,0,0,0,0,553,5,0.9910394265232975,03025
Fayette,03,026,03026,03026003X060000,Nonpublic School,St Peter Lutheran,56,0,0,0,1,56,0,0,0,0,0,56,0,1,03026
Fayette,03,026,03026,03026007X020000,Nonpublic School,Vandalia Christian Academy,50,0,0,0,1,49,1,0,0,0,0,49,1,0.98,03026
Fayette,03,026,03026,030262010260003,Brownstown CUSD 201,Brownstown High School,107,0,0,0,1,107,0,0,0,0,0,107,0,1,03026
Fayette,03,026,03026,030262010261001,Brownstown CUSD 201,Brownstown Jr High School,47,0,0,0,1,46,0,0,1,0,0,46,1,0.9787234042553191,03026
Fayette,03,026,03026,030262010262001,Brownstown CUSD 201,Brownstown Elem School,228,0,0,0,1,228,0,0,0,0,0,228,0,1,03026
Fayette,03,026,03026,030262020260002,St Elmo CUSD 202,St Elmo Sr High School,153,0,0,0,1,153,0,0,0,0,0,153,0,1,03026
Fayette,03,026,03026,030262020261001,St Elmo CUSD 202,St Elmo Jr High School,68,0,0,0,1,68,0,0,0,0,0,68,0,1,03026
Fayette,03,026,03026,030262020262001,St Elmo CUSD 202,St Elmo Elem School,270,0,0,0,1,268,0,2,0,0,0,268,2,0.9925925925925926,03026
Fayette,03,026,03026,030262030260001,Vandalia CUSD 203,Vandalia Community High School,482,6,1,7,0.9854771784232366,481,0,0,0,1,0,481,1,0.9979253112033195,03026
Fayette,03,026,03026,030262030261002,Vandalia CUSD 203,Vandalia Junior High School,443,0,0,0,1,441,1,0,1,0,0,441,2,0.9954853273137697,03026
Fayette,03,026,03026,030262030262004,Vandalia CUSD 203,Jefferson Primary School,290,0,0,0,1,281,1,0,8,0,0,281,9,0.9689655172413794,03026
Fayette,03,026,03026,030262030262008,Vandalia CUSD 203,Vandalia Elementary School,292,0,0,0,1,290,1,1,0,0,0,290,2,0.9931506849315068,03026
Fayette,03,026,03026,030262040260002,Ramsey CUSD 204,Ramsey High School,143,0,2,0,0.986013986013986,141,2,0,0,0,0,141,2,0.986013986013986,03026
Fayette,03,026,03026,030262040262001,Ramsey CUSD 204,Ramsey Elem School,333,0,0,0,1,329,3,0,1,0,0,329,4,0.987987987987988,03026
