County_Name,Region,County,region_county_code,Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,region_county_code
Adams,01,001,01001,010010010260001,Payson CUSD 1,Seymour High School,211,0,0,0,1,211,0,0,0,0,0,211,0,1,01001
Adams,01,001,01001,010010010262002,Payson CUSD 1,Seymour Elementary School,314,0,1,0,0.9968152866242038,72,0,0,0,0,0,72,0,1,01001
Adams,01,001,01001,010010020260001,Liberty CUSD 2,Liberty High School,295,0,0,0,1,295,0,0,0,0,0,295,0,1,01001
Adams,01,001,01001,010010020262002,Liberty CUSD 2,Liberty Elementary School,356,1,0,1,0.9971910112359551,85,0,0,0,0,0,85,0,1,01001
Adams,01,001,01001,01001002X060000,Nonpublic School,St James Lutheran,120,20,0,0,0.8333333333333335,31,0,0,0,0,14,31,14,0.6888888888888889,01001
Adams,01,001,01001,010010030260001,Central CUSD 3,Central High School,280,0,0,0,1,278,2,0,0,0,0,278,2,0.9928571428571429,01001
Adams,01,001,01001,010010030261001,Central CUSD 3,Central Junior High School,242,0,0,0,1,180,0,0,0,0,0,180,0,1,01001
Adams,01,001,01001,010010030262003,Central CUSD 3,Central Elementary Grade School,230,0,1,0,0.9956521739130435,46,0,0,1,0,0,46,1,0.9787234042553191,01001
Adams,01,001,01001,010010040260001,CUSD 4,Unity High School,231,0,0,0,1,231,0,0,0,0,0,231,0,1,01001
Adams,01,001,01001,010010040261001,CUSD 4,Unity Middle School,214,0,0,0,1,166,0,0,0,0,0,166,0,1,01001
Adams,01,001,01001,010010040262006,CUSD 4,Mendon Elementary School,90,1,0,0,0.9888888888888889,3,1,0,0,0,0,3,1,0.75,01001
Adams,01,001,01001,01001005X100000,Nonpublic School,St Dominic School,197,0,0,0,1,80,2,0,0,0,0,80,2,0.975609756097561,01001
Adams,01,001,01001,01001006X100000,Nonpublic School,St Francis Solanus,348,0,0,0,1,136,1,1,0,0,0,136,2,0.9855072463768116,01001
Adams,01,001,01001,01001007X100000,Nonpublic School,Blessed Sacrament Catholic School,229,0,0,0,1,91,0,0,0,0,0,91,0,1,01001
