County_Name,Region,County,region_county_code,Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,region_county_code
Adams,01,001,01001,010010010262002,Payson CUSD 1,Seymour Elementary School,314,0,1,0,0.9968152866242038,39,0,0,0,0,0,39,0,1,01001
Adams,01,001,01001,010010020262002,Liberty CUSD 2,Liberty Elementary School,356,1,0,1,0.9971910112359551,40,0,0,0,0,0,40,0,1,01001
Adams,01,001,01001,01001002X060000,Nonpublic School,St James Lutheran,120,20,0,0,0.8333333333333335,17,0,0,0,0,8,17,8,0.68,01001
Adams,01,001,01001,010010030262003,Central CUSD 3,Central Elementary Grade School,230,0,1,0,0.9956521739130435,47,0,0,0,0,0,47,0,1,01001
Adams,01,001,01001,010010040262006,CUSD 4,Mendon Elementary School,90,1,0,0,0.9888888888888889,3,1,0,0,0,0,3,1,0.75,01001
Adams,01,001,01001,01001005X100000,Nonpublic School,St Dominic School,197,0,0,0,1,38,2,0,0,0,0,38,2,0.95,01001
Adams,01,001,01001,01001006X100000,Nonpublic School,St Francis Solanus,348,0,0,0,1,49,1,1,0,0,0,49,2,0.9607843137254902,01001
Adams,01,001,01001,01001007X100000,Nonpublic School,Blessed Sacrament Catholic School,229,0,0,0,1,48,0,0,0,0,0,48,0,1,01001
Adams,01,001,01001,01001009X100000,Nonpublic School,St Peter School,452,2,1,1,0.9933628318584071,61,1,0,0,0,0,61,1,0.9838709677419355,01001
Adams,01,001,01001,010011720223004,Quincy SD 172,Early Childhood,508,2,0,2,0.9960629921259844,508,0,0,0,0,0,508,0,1,01001
Pike,01,075,01075,010750040262001,Griggsville-Perry CUSD 4,Griggsville-Perry Primary School,180,1,0,1,0.9944444444444445,30,0,0,0,0,0,30,0,1,01075
Pike,01,075,01075,010750100262007,Pikeland CUSD 10,Pittsfield South Elem School,379,0,2,2,0.9947229551451188,59,1,0,0,0,0,59,1,0.9833333333333333,01075
Pike,01,075,01075,010750120261001,Western CUSD 12,Western Jr High School,206,0,0,0,1,70,0,0,0,0,0,70,0,1,01075
Alexander,02,002,02002,020020010222004,Cairo USD 1,Cairo Elementary School,294,0,0,0,1,68,0,0,0,0,0,68,0,1,02002
Alexander,02,002,02002,020020050262002,Egyptian CUSD 5,Egyptian Elem School,267,2,0,2,0.9925093632958801,49,2,0,0,0,0,49,2,0.9607843137254902,02002
Johnson,02,044,02044,020440010262001,Goreville CUD 1,Goreville Elementary School,438,5,0,3,0.9885844748858448,58,0,0,0,0,0,58,0,1,02044
Johnson,02,044,02044,020440320032003,New Simpson Hill SD 32,New Simpson Hill Dist 32,258,0,0,0,1,35,0,0,0,0,0,35,0,1,02044
Johnson,02,044,02044,020440550022001,Vienna SD 55,Vienna Elem School Dist 55,429,0,0,0,1,39,0,0,0,0,0,39,0,1,02044
