County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,TotalNC,unduplCount,NCPE,Excluded,polioProtected,polioNcNp,polioMedObj,PolioRelObj,polioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Region,County
Boone,04,004,04004,04-004-006P-00-3101,Got Kidz Child Care Center,20.0,0,0,0,0,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,04,004
Winnebago,04,101,04101,04-101-028P-00-3101,Christ United Methodist Preschool,39.0,0,0,0,0,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,39,0,0,0,0,39,38,0,1,0,0,39,04,101
Cook_North,05,016,05016,05-016-269P-00-3101,Child Care Center of Evanston,44.0,0,0,0,0,44,0,0,0,0,44,44,0,0,0,0,44,44,0,0,0,0,44,44,0,0,0,0,44,44,0,0,0,0,44,44,0,0,0,0,44,44,0,0,0,0,44,44,0,0,0,0,44,05,016
Cook_North,05,016,05016,05-016-269P-00-3103,Evanston Day Nursery,10.0,1,1,0,0,10,0,0,0,0,10,9,1,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,10,8,1,0,0,1,10,10,0,0,0,0,10,10,0,0,0,0,10,05,016
Cook_North,05,016,05016,05-016-269P-00-3104,The Total Child Care Center,10.0,1,1,0,0,9,0,0,0,1,10,9,0,0,0,1,10,8,1,0,0,1,10,8,1,0,0,1,10,8,1,0,0,1,10,8,1,0,0,1,10,10,0,0,0,0,10,9,1,0,0,0,10,05,016
Cook_North,05,016,05016,05-016-269P-00-3105,Reba Place Day Nursery,15.0,1,1,0,0,12,0,0,3,0,15,12,0,0,3,0,15,12,0,0,3,0,15,12,0,0,3,0,15,12,0,0,3,0,15,11,1,0,3,0,15,12,0,0,3,0,15,11,0,1,3,0,15,05,016
Cook_North,05,016,05016,05-016-269P-00-3111,Baby Toddler Nursery IWSE,10.0,0,0,0,0,10,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,10,9,0,1,0,0,10,05,016
Cook_North,05,016,05016,05-016-269P-00-3112,Toddler Town,22.0,0,0,0,0,22,0,0,0,0,22,22,0,0,0,0,22,22,0,0,0,0,22,22,0,0,0,0,22,22,0,0,0,0,22,22,0,0,0,0,22,22,0,0,0,0,22,22,0,0,0,0,22,05,016
Cook_North,05,016,05016,05-016-782P-00-3101,Puerta Abierta Preschool,87.0,0,0,0,0,83,0,1,3,0,87,83,0,1,3,0,87,83,0,1,3,0,87,83,0,1,3,0,87,83,0,1,3,0,87,80,0,1,3,3,87,83,0,1,3,0,87,82,0,2,3,0,87,05,016
Cook_West,06,016,06016,06-016-228P-00-3101,Red Feather,20.0,1,1,0,0,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,19,1,0,0,0,20,20,0,0,0,0,20,06,016
Cook_West,06,016,06016,06-016-228P-00-3103,Grant Works,35.0,1,1,0,0,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,34,1,0,0,0,35,35,0,0,0,0,35,06,016
Cook_West,06,016,06016,06-016-228P-00-3104,Riverside,31.0,7,7,0,0,31,0,0,0,0,31,31,0,0,0,0,31,31,0,0,0,0,31,31,0,0,0,0,31,31,0,0,0,0,31,30,1,0,0,0,31,25,6,0,0,0,31,31,0,0,0,0,31,06,016
Cook_West,06,016,06016,06-016-400P-00-3101,Oak Park and River Forest,68.0,2,2,0,2,67,1,0,0,0,68,66,2,0,0,0,68,68,0,0,0,0,68,68,0,0,0,0,68,68,0,0,0,0,68,67,1,0,0,0,68,68,0,0,0,0,68,68,0,0,0,0,68,06,016
Cook_West,06,016,06016,06-016-5270-51-3101,Morton College Child Learn Cntr,60.0,2,1,1,0,60,0,0,0,0,60,60,0,0,0,0,60,57,0,0,0,3,60,57,0,0,0,3,60,57,0,0,0,3,60,59,1,0,0,0,60,59,1,0,0,0,60,58,0,0,0,2,60,06,016
Cook_West,06,016,06016,06-016-907P-00-3101,Sunny Days Lrning Ctr of Stickney,44.0,0,0,0,0,44,0,0,0,0,44,44,0,0,0,0,44,44,0,0,0,0,44,44,0,0,0,0,44,44,0,0,0,0,44,44,0,0,0,0,44,44,0,0,0,0,44,44,0,0,0,0,44,06,016
Cook_South,07,016,07016,07-016-194P-00-3101,Sandbox Learning Center,40.0,0,0,0,0,36,0,2,2,0,40,36,0,2,2,0,40,36,0,2,2,0,40,36,0,2,2,0,40,36,0,2,2,0,40,36,0,2,2,0,40,36,0,2,2,0,40,36,0,2,2,0,40,07,016
Cook_South,07,016,07016,07-016-241P-00-3101,Cuddle Care Child Care Center,25.0,0,0,0,0,25,0,0,0,0,25,25,0,0,0,0,25,25,0,0,0,0,25,25,0,0,0,0,25,25,0,0,0,0,25,25,0,0,0,0,25,25,0,0,0,0,25,25,0,0,0,0,25,07,016
Cook_South,07,016,07016,07-016-293P-00-3101,Sandbox Learning Center,40.0,0,0,0,0,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,0,0,0,0,40,40,40,0,0,0,0,40,40,0,0,0,0,40,07,016
Cook_South,07,016,07016,07-016-619P-00-3101,Under Carreys Care Corp,21.0,0,0,0,0,21,0,0,0,0,21,21,0,0,0,0,21,21,0,0,0,0,21,21,0,0,0,0,21,21,0,0,0,0,21,21,0,0,0,0,21,21,0,0,0,0,21,21,0,0,0,0,21,07,016
Cook_South,07,016,07016,07-016-619P-00-3102,Under Carreys Care,20.0,0,0,0,0,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0,20,07,016
Cook_South,07,016,07016,07-016-710P-00-3101,TLC Learning Center,40.0,0,0,0,0,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,32,0,8,0,0,40,40,0,0,0,0,40,07,016
Cook_South,07,016,07016,07-016-768P-00-3101,Tiny Town Lansing Nursery Sch Inc,45.0,10,6,4,0,41,4,0,0,0,45,41,4,0,0,0,45,41,4,0,0,0,45,41,4,0,0,0,45,41,4,0,0,0,45,39,6,0,0,0,45,40,5,0,0,0,45,41,4,0,0,0,45,07,016
Champaign,09,010,09010,09-010-043P-00-3101,Champaign Head Start,38.0,0,0,0,0,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,37,0,0,0,1,38,38,0,0,0,0,38,09,010
Champaign,09,010,09010,09-010-043P-00-3102,Urbana Head Start,50.0,0,0,0,0,47,0,0,0,3,50,47,0,3,0,0,50,50,0,0,0,0,50,50,0,0,0,0,50,50,0,0,0,0,50,47,0,3,0,0,50,45,0,5,0,0,50,49,0,1,0,0,50,09,010
Champaign,09,010,09010,09-010-043P-00-3103,Rantoul Head Start,38.0,0,0,0,0,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,38,0,0,0,0,38,37,0,0,0,1,38,38,0,0,0,0,38,09,010
Champaign,09,010,09010,09-010-043P-00-3104,Savoy Head Start,57.0,0,0,0,0,57,0,0,0,0,57,57,0,0,0,0,57,57,0,0,0,0,57,57,0,0,0,0,57,57,0,0,0,0,57,53,0,4,0,0,57,55,0,2,0,0,57,57,0,0,0,0,57,09,010
Richland,12,080,12080,12-080-007P-00-3101,Child Development Partners,35.0,0,0,0,0,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,12,080
Cook_City_of_Chicago,15,016,15016,15-016-022P-00-3101,The Childrens Foundation,37.0,0,0,0,0,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,15,016
Cook_City_of_Chicago,15,016,15016,15-016-022P-00-3102,Tom Thumb Comm Child Care,60.0,5,5,0,0,55,5,0,0,0,60,55,5,0,0,0,60,55,5,0,0,0,60,55,5,0,0,0,60,55,5,0,0,0,60,55,5,0,0,0,60,55,5,0,0,0,60,55,5,0,0,0,60,15,016
Cook_City_of_Chicago,15,016,15016,15-016-777P-00-3101,Foundations for Early Learning,252.0,0,0,0,0,252,0,0,0,0,252,252,0,0,0,0,252,252,0,0,0,0,252,252,0,0,0,0,252,252,0,0,0,0,252,252,0,0,0,0,252,252,0,0,0,0,252,252,0,0,0,0,252,15,016
Cook_City_of_Chicago,15,016,15016,15-016-906P-00-3101,Mayer Kaplan JCC Nursery School,37.0,2,2,0,0,30,2,0,0,5,37,30,2,0,0,5,37,30,2,0,0,5,37,30,2,0,0,5,37,30,2,0,0,5,37,30,2,0,0,5,37,30,2,0,0,5,37,30,2,0,0,5,37,15,016
McLean,17,064,17064,17-064-011P-00-3101,YWCA McLean County,32.0,0,0,0,0,32,0,0,0,0,32,32,0,0,0,0,32,32,0,0,0,0,32,32,0,0,0,0,32,32,0,0,0,0,32,32,0,0,0,0,32,32,0,0,0,0,32,32,0,0,0,0,32,17,064
DuPage,19,022,19022,19-022-048P-00-3101,Childtime Learning Center,40.0,0,0,0,0,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,40,0,0,0,0,40,19,022
