County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,Total NC,UndupNCIM,NCPE,Excluded,PolioProtected,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Unnamed: 55,Unnamed: 56,Region,County
Adams,01,001,01001,01-001-0010-26-0001,Seymour High School,239,7,6,1,0,239,0,0,0,0,239,233,6,0,0,0,239,239,0,0,0,0,239,239,0,0,0,0,239,239,0,0,0,0,239,239,0,0,0,0,239,0,0,0,0,0,0,107,0,0,0,0,107,,,01,001
Adams,01,001,01001,01-001-0010-26-2002,Seymour Elementary School,286,4,3,1,0,285,1,0,0,0,286,284,2,0,0,0,286,284,2,0,0,0,286,284,2,0,0,0,286,284,2,0,0,0,286,111,0,0,0,0,111,40,0,0,0,0,40,286,0,0,0,0,286,,,01,001
Adams,01,001,01001,01-001-0020-26-0001,Liberty High School,297,0,0,0,0,297,0,0,0,0,297,297,0,0,0,0,297,297,0,0,0,0,297,297,0,0,0,0,297,297,0,0,0,0,297,297,0,0,0,0,297,0,0,0,0,0,0,148,0,0,0,0,148,,,01,001
Adams,01,001,01001,01-001-0020-26-2002,Liberty Elementary School,365,0,0,0,0,363,0,0,2,0,365,363,0,0,2,0,365,363,0,0,2,0,365,363,0,0,2,0,365,363,0,0,2,0,365,134,0,0,0,0,134,49,0,0,0,0,49,363,0,0,2,0,365,,,01,001
Adams,01,001,01001,01-001-002X-06-0000,St James Lutheran,149,10,6,4,0,143,6,0,0,0,149,143,6,0,0,0,149,143,6,0,0,0,149,143,6,0,0,0,149,143,6,0,0,0,149,80,6,0,0,0,86,44,6,0,0,0,50,143,6,0,0,0,149,,,01,001
Adams,01,001,01001,01-001-0030-26-0001,Central High School,265,0,0,0,0,262,0,0,3,0,265,259,0,1,3,2,265,262,0,0,3,0,265,262,0,0,3,0,265,262,0,0,3,0,265,262,0,0,3,0,265,0,0,0,0,0,0,77,0,0,0,0,77,,,01,001
Adams,01,001,01001,01-001-0030-26-1001,Central Junior High School,281,0,0,0,0,278,0,0,3,0,281,278,0,0,3,0,281,278,0,0,3,0,281,278,0,0,3,0,281,278,0,0,3,0,281,278,0,0,3,0,281,0,0,0,0,0,0,278,0,0,3,0,281,,,01,001
Adams,01,001,01001,01-001-0030-26-2003,Central Elementary Grade School,277,0,0,0,0,275,0,0,2,0,277,274,0,0,2,1,277,274,0,1,2,0,277,274,0,1,2,0,277,274,0,1,2,0,277,67,0,0,0,0,67,66,0,0,0,1,67,277,0,0,0,0,277,,,01,001
Adams,01,001,01001,01-001-0030-26-2008,Central 3-4 Middle School,126,0,0,0,0,126,0,0,0,0,126,126,0,0,0,0,126,126,0,0,0,0,126,126,0,0,0,0,126,126,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,126,,,01,001
Adams,01,001,01001,01-001-0040-26-0001,Unity High School,201,0,0,0,0,200,0,0,1,0,201,200,0,0,1,0,201,200,0,0,1,0,201,200,0,0,1,0,201,200,0,0,1,0,201,200,0,0,1,0,201,0,0,0,0,0,0,48,0,0,1,0,49,,,01,001
