Region,County,Name,region_county,,,
01,001,Adams,01001,,,
02,002,Alexander,02002,,,
03,003,Bond,03003,,,
04,004,Boone,04004,,,
46,005,Brown,46005,,,
28,006,Bureau,28006,,,
40,007,Calhoun,40007,,,
08,008,Carroll,08008,,,
46,009,Cass,46009,,,
09,010,Champaign,09010,,,
10,011,Christian,10011,,,
11,012,Clark,11012,,,
12,013,Clay,12013,,,
13,014,Clinton,13014,,,
11,015,Coles,11015,,,
05,016,Cook_North,05016,,,
06,016,Cook_West,06016,,,
07,016,Cook_South,07016,,,
15,016,Cook_City_of_Chicago,15016,,,
12,017,Crawford,12017,,,
11,018,Cumberland,11018,,,
16,019,DeKalb,16019,,,
17,020,DeWitt,17020,,,
11,021,Douglas,11021,,,
19,022,DuPage,19022,,,
11,023,Edgar,11023,,,
20,024,Edwards,20024,,,
03,025,Effingham,03025,,,
03,026,Fayette,03026,,,
09,027,Ford,09027,,,
21,028,Franklin,21028,,,
22,029,Fulton,22029,,,
20,030,Gallatin,20030,,,
40,031,Greene,40031,,,
24,032,Grundy,24032,,,
25,033,Hamilton,25033,,,
26,034,Hancock,26034,,,
20,035,Hardin,20035,,,
27,036,Henderson,27036,,,
28,037,Henry,28037,,,
32,038,Iroquois,32038,,,
30,039,Jackson,30039,,,
12,040,Jasper,12040,,,
25,041,Jefferson,25041,,,
40,042,Jersey,40042,,,
08,043,Jo Daviess,08043,,,
02,044,Johnson,02044,,,
31,045,Kane,31045,,,
32,046,Kankakee,32046,,,
24,047,Kendall,24047,,,
33,048,Knox,33048,,,
34,049,Lake,34049,,,
35,050,LaSalle,35050,,,
12,051,Lawrence,12051,,,
47,052,Lee,47052,,,
17,053,Livingston,17053,,,
38,054,Logan,38054,,,
39,055,Macon,39055,,,
40,056,Macoupin,40056,,,
41,057,Madison,41057,,,
13,058,Marion,13058,,,
43,059,Marshall,43059,,,
38,060,Mason,38060,,,
02,061,Masaac,02061,,,
26,062,McDonough,26062,,,
44,063,McHenry,44063,,,
17,064,McLean,17064,,,
38,065,Menard,38065,,,
27,066,Mercer,27066,,,
45,067,Monroe,45067,,,
10,068,Montgomery,10068,,,
46,069,Morgan,46069,,,
11,070,Moultrie,11070,,,
47,071,Ogle,47071,,,
48,072,Peoria,48072,,,
30,073,Perry,30073,,,
39,074,Piatt,39074,,,
01,075,Pike,01075,,,
20,076,Pope,20076,,,
02,077,Pulaski,02077,,,
43,078,Putnam,43078,,,
45,079,Randolph,45079,,,
12,080,Richland,12080,,,
49,081,Rock Island,49081,,,
50,082,St. Clair,50082,,,
20,083,Saline,20083,,,
51,084,Sangamon,51084,,,
22,085,Schuyler,22085,,,
46,086,Scott,46086,,,
11,087,Shelby,11087,,,
28,088,Stark,28088,,,
08,089,Stephenson,08089,,,
53,090,Tazewell,53090,,,
02,091,Union,02091,,,
54,092,Vermilion,54092,,,
20,093,Wabash,20093,,,
27,094,Warren,27094,,,
13,095,Washington,13095,,,
20,096,Wayne,20096,,,
20,097,White,20097,,,
55,098,Whiteside,55098,,,
56,099,Will,56099,,,
21,100,Williamson,21100,,,
04,101,Winnebago,04101,,,
43,102,Woodford,43102,,,
60,105,Dept of Juvenile Justice,60105,,,
65,108,Other State Funded Public Schools,65108,,,
